#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
SOSTDC1	7	-	16461480	16465849	16461480,16465463,	16462963,16465849,
LRRC72	7	+	16526895	16581568	16526895,16532494,16537626,16557359,16558888,16566312,16567390,16580073,16581323,	16527042,16532568,16537696,16557441,16558999,16566402,16567543,16580101,16581568,
ANKMY2	7	-	16599775	16645817	16599775,16602379,16604720,16609629,16610548,16615743,16624982,16627039,16636390,16645506,	16600945,16602509,16604849,16609765,16610763,16615904,16625081,16627178,16636455,16645817,
BZW2	7	+	16646130	16706523	16646130,16665436,16674411,16681300,16682779,16685904,16689796,16694833,16696914,16698047,16704546,16706059,	16646288,16665501,16674588,16681404,16682845,16686040,16689906,16695004,16697061,16698186,16704669,16706523,
TSPAN13	7	+	16753534	16784536	16753534,16776210,16777041,16777797,16779002,16783416,	16754030,16776378,16777122,16777911,16779116,16784536,
AGR2	7	-	16791810	16805080	16791810,16794935,16797630,16799743,16801150,16801319,16801657,16804934,	16792957,16795019,16797694,16799817,16801203,16801383,16801803,16805080,
AGR3	7	-	16859404	16881987	16859404,16860499,16861383,16861983,16862609,16873779,16878509,16881943,	16859631,16860583,16861447,16862060,16862662,16873843,16878645,16881987,
AHR	7	+	17298621	17346150	17298621,17309935,17322500,17327758,17329951,17330755,17333911,17334886,17335644,17338985,17342920,	17299329,17310123,17322607,17327848,17330075,17330886,17334114,17334996,17335786,17340228,17346150,
SNX13	7	-	17790760	17940494	17790760,17796826,17798689,17799008,17801587,17803418,17814833,17816181,17821508,17826021,17830009,17834051,17834760,17839806,17845594,17850346,17850825,17868406,17873527,17875479,17875668,17890362,17891545,17893331,17897333,17940283,	17794292,17796939,17798758,17799154,17801659,17803580,17814944,17816289,17821648,17826091,17830047,17834184,17834865,17840000,17845694,17850435,17850964,17868490,17873616,17875581,17875790,17890484,17891635,17893434,17897446,17940494,
PRPS1L1	7	-	18026773	18027863	18026773,	18027863,
HDAC9	7	+	18496302	18996062	18496302,18585280,18590335,18591515,18593907,18629349,18634626,18644670,18647784,18648465,18666212,18727579,18749004,18762156,18767105,18793344,18829160,18829460,18835466,18835899,18874477,18935808,18954145,18975805,18996022,	18496324,18585522,18590486,18591642,18594029,18629481,18634742,18644793,18647998,18648683,18666476,18727757,18749138,18762277,18767155,18793452,18829216,18829548,18835586,18835997,18874596,18935942,18954230,18975953,18996062,
TWIST1	7	-	19115467	19117672	19115467,19116670,	19116131,19117672,
FERD3L	7	-	19144781	19145421	19144781,	19145421,
TWISTNB	7	-	19695461	19709087	19695461,19700071,19704778,19708762,	19698727,19700280,19704920,19709087,
TMEM196	7	-	19719315	19773393	19719315,19725513,19729381,19772549,	19722134,19725768,19729438,19773393,
MACC1	7	-	20134654	20217390	20134654,20154192,20158203,20161747,20164255,20170713,20217298,	20141158,20154381,20160245,20161870,20164399,20170778,20217390,
ITGB8	7	+	20331122	20415754	20331122,20363636,20367011,20379050,20380665,20381726,20391402,20394895,20398859,20401720,20404627,20406061,20409614,20409874,	20331933,20363722,20367186,20379297,20380831,20381885,20391498,20394985,20398994,20402126,20404853,20406171,20409778,20415754,
ABCB5	7	+	20615206	20757009	20615206,20623264,20626556,20628687,20632058,20643183,20643460,20645755,20645960,20647534,20647967,20650021,20651419,20658505,20681504,20685695,20698406,20699824,20700057,20704723,20723015,20727039,20728314,20738982,20742876,20745231,20753359,20755426,	20615837,20623338,20626611,20628838,20632113,20643375,20643632,20645880,20646138,20647648,20648078,20650147,20651623,20658676,20681666,20685836,20698550,20699929,20700135,20704807,20723219,20727140,20728455,20739139,20743074,20745438,20753506,20757009,
SP8	7	-	20784286	20786886	20784286,20785947,20786777,	20785795,20786043,20786886,
SP4	7	+	21428033	21514822	21428033,21428676,21429288,21477078,21481923,21511021,	21428258,21428792,21430843,21477307,21482123,21514822,
DNAH11	7	+	21543214	21901839	21543214,21545005,21558801,21559602,21561070,21564185,21570068,21571805,21581904,21588063,21588511,21589207,21590917,21591184,21599786,21600675,21601009,21601395,21606425,21606646,21615113,21616208,21617618,21619099,21619955,21635870,21637610,21638938,21655831,21658797,21681545,21683783,21687098,21687381,21690764,21698074,21702709,21704433,21705459,21707698,21710552,21711711,21717774,21720724,21725810,21735639,21738700,21739570,21741926,21744437,21744869,21748579,21749677,21750221,21765427,21773765,21778957,21784426,21786623,21787400,21789240,21801136,21807882,21816466,21818216,21842543,21852466,21854314,21861852,21864534,21866469,21867858,21868863,21873273,21880701,21884290,21892424,21894622,21894883,21899335,21899979,21901006,	21543596,21545149,21558998,21559792,21561170,21564397,21570299,21571973,21582021,21588201,21588636,21589403,21591022,21591577,21600119,21600930,21601179,21601618,21606542,21606733,21615272,21616292,21617777,21619222,21620078,21636095,21637702,21639065,21655981,21659031,21681677,21683944,21687255,21687527,21690881,21698213,21702802,21704628,21705537,21707835,21710703,21711860,21717925,21720856,21725984,21735844,21738866,21739673,21742166,21744599,21745063,21748742,21749801,21750364,21765589,21773999,21779104,21784540,21786767,21787583,21789342,21801275,21808049,21816702,21818339,21842748,21852631,21854455,21862023,21864657,21866663,21868007,21868991,21873501,21880893,21884410,21892667,21894805,21894999,21899448,21900120,21901839,
CDCA7L	7	-	21900900	21946084	21900900,21902977,21904109,21905505,21906288,21906567,21908129,21911616,21916753,21945780,	21902352,21903114,21904259,21905631,21906456,21906639,21908507,21911754,21916894,21946084,
RAPGEF5	7	-	22118290	22356914	22118290,22125603,22131036,22136037,22136932,22140024,22145043,22146896,22150406,22154454,22156809,22157854,22160517,22162396,22167069,22193366,22193914,22219865,22230845,22266963,22291174,22308338,22309968,22315369,22317986,22356829,	22122521,22125658,22131101,22136125,22136983,22140115,22145222,22147019,22150504,22154604,22156888,22157885,22160615,22162541,22167148,22193455,22194033,22219991,22230919,22267012,22291241,22308507,22310090,22315476,22318037,22356914,
STEAP1B	7	-	22419443	22500177	22419443,22492564,22493323,22494771,22500113,	22419836,22492729,22493779,22494886,22500177,
IL6	7	+	22725883	22732002	22725883,22727178,22727443,22728692,22729513,22731405,	22726258,22727281,22727634,22728806,22729660,22732002,
TOMM7	7	-	22812631	22822851	22812631,22817999,22822676,	22813185,22818048,22822851,
FAM126A	7	-	22934210	23014129	22934210,22960255,22961234,22964414,22976209,22976692,22977340,22978268,22983943,22991060,23013924,	22946163,22960415,22961322,22964531,22976305,22976808,22977421,22978448,22984045,22991139,23014129,
KLHL7	7	+	23105783	23177914	23105783,23123776,23124687,23125047,23140768,23143850,23152066,23165697,23167835,23172947,23174014,	23106146,23123879,23124781,23125172,23140944,23144025,23152209,23165938,23168037,23173045,23177914,
GPNMB	7	+	23246562	23275108	23246562,23253306,23254168,23256891,23259979,23260455,23266516,23267885,23269966,23273520,23274064,	23246927,23253459,23254312,23257065,23260138,23260773,23266615,23267988,23270175,23273614,23275108,
MALSU1	7	+	23299199	23311729	23299199,23300838,23307867,23309355,	23299608,23301017,23307949,23311729,
IGF2BP3	7	-	23310208	23470467	23310208,23312734,23313521,23317638,23319137,23342063,23343717,23345939,23347599,23351304,23361533,23361689,23418775,23468481,23469935,	23312460,23312848,23313653,23317713,23319254,23342189,23343853,23346062,23347734,23351586,23361597,23361741,23418824,23468542,23470467,
TRA2A	7	-	23504779	23532041	23504779,23505745,23506137,23507419,23512893,23516362,23521706,23531788,	23505569,23505813,23506266,23507535,23513082,23516528,23521840,23532041,
CCDC126	7	+	23597378	23644708	23597378,23597966,23611170,23642930,	23597605,23598051,23611553,23644708,
FAM221A	7	+	23680129	23702650	23680129,23684498,23689268,23691389,23698191,23700785,23702095,	23680283,23684672,23689459,23691596,23698299,23700868,23702650,
STK31	7	+	23710166	23832513	23710166,23712098,23712233,23717480,23727240,23729090,23735537,23736903,23752716,23754314,23762800,23768994,23769639,23771004,23772146,23781418,23783582,23785477,23786507,23786837,23787979,23790823,23815143,23832135,	23710335,23712145,23712286,23717579,23727315,23729249,23735896,23737078,23752832,23754474,23762923,23769174,23769756,23771124,23772278,23781520,23783663,23785603,23786633,23786924,23788129,23790946,23815212,23832513,
NPY	7	+	24284162	24291865	24284162,24285240,24289498,24291662,	24284275,24285428,24289579,24291865,
MPP6	7	+	24573345	24694193	24573345,24623665,24641715,24649611,24650484,24663589,24665587,24666020,24668498,24679130,24680391,24687437,	24573593,24623784,24641868,24649764,24650712,24663721,24665687,24666089,24668660,24679333,24680520,24694193,
DFNA5	7	-	24698352	24758113	24698352,24702759,24706183,24708126,24710223,24717253,24719046,24744561,24749563,24757706,	24699259,24702833,24706376,24708254,24710388,24717374,24719218,24744754,24749793,24758113,
OSBPL3	7	-	24796538	24980188	24796538,24804314,24806775,24809806,24815058,24816609,24820174,24830767,24834485,24840689,24842278,24849068,24852503,24861612,24863199,24863495,24865341,24866069,24870731,24871741,24871952,24892376,24979885,	24800279,24804437,24806902,24809951,24815203,24816688,24820238,24830905,24834736,24840783,24842413,24849176,24852634,24861769,24863292,24863599,24865465,24866237,24870845,24871795,24872069,24892621,24980188,
CYCS	7	-	25120090	25125361	25120090,25123950,25125199,	25123849,25124127,25125361,
C7orf31	7	-	25134696	25180354	25134696,25142240,25142639,25151595,25155010,25158500,25161188,25168288,25179174,25180069,	25136793,25142332,25142814,25151684,25155192,25158530,25161260,25168465,25179332,25180354,
NPVF	7	-	25224569	25228486	25224569,25226625,25228301,	25225173,25227026,25228486,
NFE2L3	7	+	26152239	26187125	26152239,26177942,26183700,26184532,	26153068,26178122,26183784,26187125,
HNRNPA2B1	7	-	26191843	26200746	26191843,26192494,26193250,26193574,26195846,26196400,26196556,26196806,26197314,26197621,26200571,	26192338,26192577,26193373,26193694,26195909,26196481,26196658,26197017,26197461,26197732,26200746,
CBX3	7	+	26201161	26213356	26201161,26202970,26206367,26208392,26211661,26212081,	26201561,26203022,26206510,26208555,26211756,26213356,
SNX10	7	+	26291894	26374317	26291894,26346419,26360974,26364534,26365046,26371820,26372490,	26292133,26346466,26361061,26364635,26365145,26372033,26374317,
SKAP2	7	-	26667061	26864743	26667061,26670090,26684735,26690284,26725427,26725922,26726881,26738794,26739886,26844029,26854136,26854784,26864362,	26669656,26670192,26684848,26690362,26725565,26725986,26727006,26738878,26739964,26844137,26854162,26854890,26864743,
HOXA1	7	-	27092992	27095974	27092992,27095260,	27094795,27095974,
HOXA2	7	-	27100353	27102811	27100353,27102109,	27101465,27102811,
HOXA3	7	-	27106183	27119595	27106183,27110114,27119515,	27108720,27110760,27119595,
HOXA4	7	-	27128506	27130780	27128506,27130117,	27129571,27130780,
HOXA5	7	-	27141051	27143668	27141051,27143045,	27142085,27143668,
HOXA6	7	-	27145395	27147774	27145395,27147307,	27145917,27147774,
HOXA7	7	-	27153715	27156677	27153715,27156166,	27155222,27156677,
HOXA9	7	-	27162434	27165530	27162434,27164877,	27163841,27165530,
HOXA10-HOXA9	7	-	27163534	27180013	27163534,27164877,27179645,	27163841,27164967,27180013,
HOXA10	7	-	27170590	27174306	27170590,27173348,	27172173,27174306,
HOXA11	7	-	27181514	27185216	27181514,27184435,	27183028,27185216,
HOXA13	7	-	27194363	27200106	27194363,27199155,	27198442,27200106,
EVX1	7	+	27242699	27247825	27242699,27245047,27245885,	27243457,27245304,27247825,
HIBADH	7	-	27525441	27662995	27525441,27531191,27538340,27542966,27629370,27632335,27649472,27662697,	27526372,27531348,27538417,27543100,27629492,27632445,27649633,27662995,
TAX1BP1	7	+	27740188	27829263	27740188,27748517,27758030,27765833,27769675,27785162,27785398,27787417,27792005,27793065,27794322,27796115,27799964,27816348,27816889,27827737,27828627,	27740269,27748686,27758133,27766021,27769834,27785311,27785489,27787603,27792230,27793212,27794446,27796219,27800090,27816520,27817038,27827820,27829263,
JAZF1	7	-	27830572	28180743	27830572,27840697,27895219,27991908,28180462,	27832976,27840867,27895416,27991981,28180743,
CREB5	7	+	28412524	28825894	28412524,28488174,28494905,28507615,28570364,28718752,28724221,28804198,28809186,28818070,28819115,	28412917,28488246,28494999,28507737,28570537,28718879,28724332,28804522,28809414,28818179,28825894,
CPVL	7	-	28995230	29146537	28995230,29030576,29064060,29066022,29071772,29072300,29086483,29092622,29095083,29096102,29112703,29120892,29146428,	28995882,29030759,29064234,29066121,29071904,29072423,29086550,29092702,29095142,29096217,29112822,29121071,29146537,
CHN2	7	+	29194411	29514328	29194411,29354624,29367931,29393678,29398372,29400542,29480278,29495951,29499866,29504743,29507227,29509300,29512563,	29194990,29354663,29367987,29393710,29398486,29400828,29480356,29496036,29500040,29504821,29507365,29509406,29514328,
PRR15	7	+	29563810	29567295	29563810,29566184,	29564377,29567295,
WIPF3	7	+	29806553	29917066	29806553,29834667,29875829,29879008,29883849,29888067,29889305,29904285,29914492,	29806678,29834814,29875962,29879140,29884593,29888217,29889407,29904362,29917066,
SCRN1	7	-	29920102	29989798	29920102,29926451,29936555,29940681,29943976,29955178,29968908,29989641,	29924115,29926632,29936721,29940876,29944179,29955360,29969068,29989798,
FKBP14	7	-	30010586	30026684	30010586,30018995,30022664,30026311,	30014893,30019123,30022816,30026684,
PLEKHA8	7	+	30028360	30084660	30028360,30045084,30046209,30047831,30049223,30050433,30052708,30054708,30055256,30060883,30061896,30062671,30074070,30078589,	30028802,30045201,30046365,30047956,30049382,30050474,30052866,30054865,30055342,30060942,30062027,30062742,30074132,30084660,
MTURN	7	+	30134809	30162762	30134809,30146176,30157437,	30135298,30146299,30162762,
ZNRF2	7	+	30284306	30367692	30284306,30323641,30355727,30362376,30366034,	30285826,30323737,30355833,30362456,30367692,
GS1-114I9.3	7	+	30362399	30412502	30362399,30366034,30411897,30412330,	30362456,30366295,30412073,30412502,
NOD1	7	-	30424526	30478780	30424526,30429373,30433095,30435997,30437572,30446140,30446966,30448297,30451215,30455136,30456720,30459151,30459900,30478605,	30425710,30429457,30433179,30436081,30437656,30446224,30447050,30448381,30453040,30455311,30457042,30459240,30460041,30478780,
GGCT	7	-	30496620	30504844	30496620,30498802,30500535,30504568,	30497235,30498938,30500681,30504844,
RP4-777O23.3	7	-	30497076	30550761	30497076,30498802,30500535,30524366,30550635,	30497235,30498938,30500681,30524486,30550761,
GARS	7	+	30594680	30634033	30594680,30598795,30599946,30601058,30603033,30603495,30609584,30612095,30615895,30617113,30621392,30622316,30626233,30628559,30631447,30632246,30633734,	30595143,30598897,30600049,30601200,30603122,30603572,30609730,30612245,30616058,30617278,30621500,30622462,30626319,30628669,30631541,30632437,30634033,
CRHR2	7	-	30652583	30682698	30652583,30655038,30655579,30655926,30660572,30662155,30662693,30665069,30665529,30667227,30681914,30682177,	30653600,30655080,30655715,30656012,30660645,30662216,30662847,30665187,30665639,30667313,30682040,30682698,
INMT	7	+	30752134	30757602	30752134,30753730,30755421,	30752304,30753938,30757602,
INMT-FAM188B	7	+	30752136	30892081	30752136,30753733,30766344,30778431,30781976,30785748,30791164,30828678,30836657,30839199,30840759,30850453,30852215,30853393,30859256,30872242,30875494,30882180,30882920,30891956,	30752304,30753938,30766561,30778551,30782212,30785992,30791574,30828737,30836764,30839316,30840848,30850555,30852279,30853459,30859324,30872306,30875656,30882361,30882993,30892081,
FAM188B	7	+	30771416	30892387	30771416,30778431,30781976,30785748,30791164,30828678,30836657,30839199,30840759,30850453,30852215,30853393,30859256,30872242,30875494,30882180,30882920,30891956,	30771556,30778551,30782212,30785992,30791574,30828737,30836764,30839316,30840848,30850555,30852279,30853459,30859324,30872306,30875656,30882361,30882993,30892387,
RP5-877J2.1	7	+	30852272	30923812	30852272,30853393,30859256,30872242,30875494,30882180,30882920,30911992,30922065,30922563,30923449,	30852279,30853459,30859324,30872306,30875656,30882361,30882993,30912293,30922230,30922644,30923812,
AQP1	7	+	30911854	30925516	30911854,30922065,30922563,30923449,	30912293,30922230,30922644,30925516,
GHRHR	7	+	30964022	30979528	30964022,30968833,30969062,30969866,30971118,30971962,30973984,30974428,30974970,30975776,30976428,30977280,30979118,	30964125,30968936,30969170,30969964,30971216,30972095,30974138,30974489,30975040,30975868,30976558,30977322,30979528,
ADCYAP1R1	7	+	31052460	31111475	31052460,31063193,31064830,31077990,31080612,31081712,31084140,31084736,31085309,31086383,31086942,31087626,31092643,31103236,31104867,31106495,	31052678,31063315,31064936,31078098,31080633,31081754,31084250,31084834,31085442,31086537,31087003,31087696,31092735,31103366,31104909,31111475,
NEUROD6	7	-	31337460	31340894	31337460,31340592,	31339289,31340894,
CCDC129	7	+	31518318	31652925	31518318,31553005,31554474,31554857,31569757,31572101,31574539,31577862,31583133,31642175,31642681,31651141,31651938,31652517,	31518337,31553187,31554523,31554901,31569809,31572188,31574742,31578434,31583191,31642258,31643953,31651269,31652050,31652925,
PPP1R17	7	+	31686714	31708455	31686714,31692405,31695468,31696964,31707203,	31687306,31692523,31695621,31697117,31708455,
PDE1C	7	-	31783503	32071408	31783503,31809030,31815923,31823072,31824866,31828291,31837179,31837869,31847967,31850640,31864941,31873291,31877969,31878995,31880746,32051553,32070292,32071205,	31790259,31809108,31816154,31823248,31824987,31828373,31837300,31837971,31848096,31850741,31865082,31873408,31878036,31879178,31880860,32051580,32070395,32071408,
LSM5	7	-	32485331	32490418	32485331,32487684,32488624,32489248,32490319,	32487293,32487757,32488652,32489344,32490418,
AVL9	7	+	32495488	32588721	32495488,32543140,32544693,32548846,32551333,32552228,32553726,32554557,32558558,32558928,32570019,32573198,32575954,32580218,32580801,32583791,	32495802,32543261,32544779,32548918,32551423,32552295,32553767,32554596,32558628,32559464,32570154,32573418,32576072,32580272,32580890,32588721,
KBTBD2	7	-	32868171	32891897	32868171,32874991,32879434,32891535,	32870880,32875157,32879942,32891897,
FKBP9	7	+	32957404	33006931	32957404,32974616,32975181,32976353,32980363,32988506,32996162,33000114,33002675,33005174,	32957794,32974762,32975371,32976499,32980553,32988652,32996349,33000260,33002839,33006931,
NT5C3A	7	-	33014113	33062797	33014113,33015669,33017438,33019634,33021271,33022052,33024038,33026816,33035933,33062567,	33014831,33015870,33017601,33019724,33021357,33022099,33024108,33026915,33035988,33062797,
RP9	7	-	33094796	33109390	33094796,33096492,33097270,33099306,33100530,33109220,	33095432,33096554,33097362,33099436,33100561,33109390,
BBS9	7	+	33129539	33606068	33129539,33146241,33152700,33155637,33177477,33257235,33264289,33273011,33273826,33336440,33340896,33344580,33349067,33351218,33357854,33367766,33383665,33387991,33505462,33533953,33604864,33605194,	33130041,33146364,33152851,33155702,33177591,33257410,33264374,33273195,33273956,33336622,33340973,33344634,33349170,33351323,33357995,33367862,33383838,33388144,33505645,33534176,33604975,33606068,
BMPER	7	+	33904910	34155872	33904910,33905473,33906817,33937288,33966478,33970328,33974701,34046305,34051860,34055162,34058058,34062001,34078856,34085755,34143229,34153091,	33905144,33905746,33906903,33937388,33966561,33970419,33974784,34046405,34051970,34055303,34058163,34062047,34079186,34086092,34143360,34155872,
NPSR1	7	+	34658284	34849978	34658284,34684551,34778461,34811769,34827400,34834383,34844895,34848482,34849564,	34658559,34684684,34778565,34811863,34827602,34834460,34844982,34848663,34849978,
DPY19L1	7	-	34928875	35038041	34928875,34937993,34939275,34940152,34941764,34942614,34945666,34947629,34949796,34954697,34955307,34957983,34966893,34969432,34973513,34989883,35010467,35011329,35013567,35017881,35018571,35037817,	34931729,34938119,34939375,34940327,34941884,34942639,34945716,34947701,34949898,34954778,34955367,34958070,34966971,34969532,34973605,34989941,35010561,35011450,35013705,35017969,35018596,35038041,
TBX20	7	-	35202429	35254147	35202429,35204469,35231503,35240878,35244948,35248676,35249950,35253493,	35202770,35204582,35231580,35241037,35245057,35248841,35250203,35254147,
HERPUD2	7	-	35632658	35695135	35632658,35634311,35635134,35638349,35667433,35670214,35673200,35694183,	35633851,35634429,35635458,35638472,35667588,35670328,35673278,35695135,
SEPT7	7	+	35800985	35907105	35800985,35832792,35863551,35872665,35873640,35879822,35882483,35883890,35885827,35890667,35898247,35903075,35904253,	35801270,35832900,35863658,35872766,35873775,35879940,35882576,35883987,35885879,35890793,35898383,35903215,35907105,
EEPD1	7	+	36153148	36301543	36153148,36154132,36238984,36281114,36284685,36287638,36296992,36299006,	36153674,36155202,36239036,36281225,36284820,36287777,36297187,36301543,
KIAA0895	7	-	36326133	36367201	36326133,36330981,36333855,36335045,36336153,36356901,36366915,	36326918,36331079,36334161,36335178,36336297,36357590,36367201,
ANLN	7	+	36389805	36453791	36389805,36396265,36399078,36406180,36407733,36410513,36411058,36415757,36417079,36419243,36420168,36420596,36421856,36422632,36423816,36424544,36424685,36425701,36426014,36426915,36439203,36443754,36449664,36452476,	36390044,36396419,36399393,36406566,36407956,36410704,36411166,36415884,36417190,36419479,36420314,36420744,36421992,36422809,36423943,36424593,36424742,36425740,36426036,36427028,36439290,36443862,36449837,36453791,
ELMO1	7	-	36854360	37449249	36854360,36861658,36870392,36878009,36887559,36894853,37013298,37096618,37133129,37211385,37213334,37216644,37222614,37224878,37233094,37244355,37259180,37271831,37314849,37315919,37342612,37448674,	36855751,36861736,36870475,36878117,36887672,36895017,37013435,37096727,37133234,37211517,37213457,37216695,37222693,37225030,37233194,37244391,37259350,37271882,37314922,37315960,37342763,37449249,
GPR141	7	+	37683871	37741374	37683871,37685178,37729915,37740379,	37683903,37685298,37730038,37741374,
NME8	7	+	37848596	37900401	37848596,37848823,37850259,37850377,37850628,37857273,37862027,37863395,37864347,37865524,37867701,37876831,37884302,37885144,37888276,37894465,37896869,37900243,	37848728,37849056,37850299,37850435,37850735,37857345,37862144,37863462,37864421,37865617,37867898,37877007,37884447,37885252,37888428,37894610,37897107,37900401,
SFRP4	7	-	37905931	37916915	37905931,37909616,37912118,37914212,37914372,37916092,	37907664,37909680,37912317,37914278,37914453,37916915,
EPDR1	7	+	37920560	37951941	37920560,37948839,37950199,	37921208,37949048,37951941,
STARD3NL	7	+	38178221	38230671	38178221,38207446,38214356,38215027,38217024,38217187,38219564,38228798,38229922,	38178420,38207729,38214434,38215105,38217078,38217305,38219660,38228871,38230671,
TRGC2	7	-	38239965	38368091	38239965,38242427,38245182,38249242,38367551,38367566,38367579,38368012,	38240166,38242475,38245230,38249589,38367562,38367578,38367893,38368091,
TRGJ2	7	-	38253379	38253429	38253379,	38253429,
TRGJP2	7	-	38256336	38256396	38256336,	38256396,
TRGC1	7	-	38257878	38265678	38257878,38262170,38265348,	38260230,38262218,38265678,
TRGJ1	7	-	38269490	38269540	38269490,	38269540,
TRGJP	7	-	38273586	38273647	38273586,	38273647,
TRGJP1	7	-	38276258	38276318	38276258,	38276318,
TRGV11	7	-	38291615	38292078	38291615,	38292078,
TRGV10	7	-	38299810	38300322	38299810,	38300322,
TRGV9	7	-	38317016	38318861	38317016,38317446,	38317336,38318861,
TRGV8	7	-	38330342	38330935	38330342,38330778,	38330653,38330935,
TRGV5	7	-	38343893	38350011	38343893,38349109,38349781,	38345340,38349665,38350011,
TRGV4	7	-	38353714	38354517	38353714,38354140,	38354025,38354517,
TRGV3	7	-	38358511	38359162	38358511,38358936,	38358822,38359162,
TRGV2	7	-	38362863	38363518	38362863,38363285,	38363174,38363518,
TRGV1	7	-	38367585	38368169	38367585,38368012,	38367893,38368169,
AMPH	7	-	38383703	38631567	38383703,38389803,38391747,38394004,38417824,38422420,38426953,38429841,38432188,38436271,38461282,38462974,38465466,38466172,38475330,38476861,38491049,38494432,38503649,38534930,38631282,	38384925,38389905,38392017,38394214,38417950,38422477,38426986,38429865,38432212,38436388,38461411,38463113,38465549,38466248,38475416,38476969,38491145,38494527,38503704,38535011,38631567,
VPS41	7	-	38722962	38909229	38722962,38726908,38728541,38728691,38741984,38743401,38745558,38752175,38754701,38754894,38756837,38758353,38763454,38765579,38767536,38771197,38772521,38774114,38776678,38789800,38795464,38796744,38817816,38821202,38830253,38862544,38869145,38898090,38909153,	38726326,38726988,38728586,38728791,38742121,38743542,38745613,38752313,38754752,38754936,38756982,38758481,38763547,38765661,38767598,38771254,38772637,38774244,38776776,38789867,38795611,38796864,38817882,38821265,38830328,38862622,38869253,38898129,38909229,
POU6F2	7	+	39006807	39468601	39006807,39085859,39204234,39207391,39339641,39406599,39433076,39451532,39460546,39464289,	39006867,39086031,39204326,39207620,39340015,39406740,39433283,39451701,39460715,39468601,
YAE1D1	7	+	39566375	39572881	39566375,39570505,39572276,	39566547,39570627,39572881,
RALA	7	+	39623482	39708124	39623482,39686630,39690381,39696684,39706122,	39623825,39686781,39690590,39696859,39708124,
CDK13	7	+	39950036	40097134	39950036,39987598,39997493,39999360,40001860,40045835,40047820,40062825,40063022,40078004,40078719,40088125,40092784,40094129,	39951852,39988258,39997664,39999500,40002031,40046025,40047877,40062927,40063100,40078121,40078851,40088331,40093237,40097134,
MPLKIP	7	-	40126022	40134659	40126022,40134228,	40133259,40134659,
SUGCT	7	+	40134976	40860631	40134976,40180946,40181954,40188494,40189543,40194939,40237634,40274512,40316759,40449286,40459100,40496283,40684055,40749433,40860315,	40135120,40180998,40182028,40188580,40189594,40195060,40237726,40274656,40316855,40449358,40459198,40496386,40684133,40749497,40860631,
INHBA	7	-	41685113	41703108	41685113,41699986,41703004,	41690542,41700517,41703108,
GLI3	7	-	41960949	42237013	41960949,41967595,41972336,41977557,41978598,42023467,42025263,42026198,42040037,42045383,42048490,42076751,42148225,42223129,42236970,	41966641,41967923,41972627,41977722,41978748,42023608,42025377,42026412,42040239,42045530,42048696,42076857,42148468,42223295,42237013,
C7orf25	7	-	42908725	42912169	42908725,42911914,	42910921,42912169,
RP11-111K18.1	7	-	42909272	42932174	42909272,42917513,42917777,42921857,42923324,42924674,42926535,42927382,42932117,	42910921,42917690,42917835,42921931,42923406,42924797,42926668,42927459,42932174,
PSMA2	7	-	42916856	42932223	42916856,42917777,42921857,42923324,42924674,42926535,42927382,42932117,	42917690,42917835,42921931,42923406,42924797,42926668,42927459,42932223,
MRPL32	7	+	42932199	42937857	42932199,42934954,42937321,	42932516,42935136,42937857,
HECW1	7	+	43112598	43566001	43112598,43114156,43243874,43311762,43320634,43360885,43396813,43407561,43438002,43442528,43444217,43450827,43456296,43463659,43466446,43468919,43479609,43492074,43493083,43500698,43501212,43507136,43508017,43508968,43541162,43541868,43550444,43552221,43554591,43561814,	43112937,43114391,43243932,43312087,43320742,43360980,43396889,43407731,43438145,43442629,43445570,43450929,43456447,43463799,43466568,43469105,43479744,43492180,43493180,43500782,43501322,43507257,43508131,43509121,43541261,43541998,43550591,43552336,43554790,43566001,
STK17A	7	+	43583064	43626786	43583064,43595900,43608255,43619596,43623571,43623708,43624517,	43583449,43596113,43608400,43619723,43623620,43623888,43626786,
COA1	7	-	43639246	43729541	43639246,43640572,43645250,43647534,43648599,43729428,	43639681,43640649,43645399,43647634,43648652,43729541,
BLVRA	7	+	43758679	43807339	43758679,43771137,43787903,43791248,43792714,43800464,43803675,43806976,	43758734,43771170,43788025,43791368,43792812,43800572,43803847,43807339,
MRPS24	7	-	43866557	43869557	43866557,43868962,43869307,43869456,	43866982,43869074,43869376,43869557,
URGCP-MRPS24	7	-	43866557	43906589	43866557,43868962,43869307,43881658,43881906,43887414,43906561,	43866982,43869074,43869376,43881697,43881957,43887485,43906589,
URGCP	7	-	43875912	43889634	43875912,43881658,43881906,43887414,	43879260,43881697,43881957,43889634,
UBE2D4	7	+	43926443	43956136	43926443,43938430,43942825,43942953,43948631,43950598,43952649,	43926556,43938494,43942857,43943031,43948737,43950692,43956136,
SPDYE1	7	+	44000888	44010122	44000888,44002589,44003852,44005141,44007267,44007708,44008666,	44001284,44002817,44003911,44005227,44007586,44007813,44010122,
DBNL	7	+	44044710	44061637	44044710,44050224,44051829,44052866,44056756,44057781,44058128,44058428,44058877,44059353,44059542,44060047,44060776,	44044820,44050280,44051942,44052941,44056903,44057859,44058280,44058480,44058983,44059449,44059658,44060153,44061637,
